Level,Code,Class title,Element Type Label English,Element Description English,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"deputy chief executive officer - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"director general - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,educational institution chief financial officer (CFO) ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,educators association chairperson ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,environmental group executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,ethnic association president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"executive director - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,executive director - teacher's federation ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"executive general manager - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"executive vice-president - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"finance and administration vice-president - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"finance vice-president - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"general manager - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,health care association president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,health services institution executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,hockey association general manager ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,hospital administrator ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,hospital executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"human resources and organizational development vice-president - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"human resources vice-president - health, education, social and community services and membership organizations ",,,,
